SERIES_CODE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,CATEGORY,YEAR,VALUE
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2018,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2018,1849985.208
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2018,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2018,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2018,3574968.984
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2018,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2018,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2018,13026000.61
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2018,6662421.708
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2018,165984027.5
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2019,6037020.0
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2019,77877187.39
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2019,31115005.32
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2019,9303785.895
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2019,10864890.42
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2019,29511.96972
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2019,9528132.2
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2019,19571609.61
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2019,124975650.4
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2019,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2019,2103436.13
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2019,914653.4747
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2019,2352112.42
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2019,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2019,31115005.32
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2019,2103436.13
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2019,123744422.1
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2019,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2019,26705440.39
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2019,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2019,294613.689
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2019,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2019,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2019,3190007.259
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2019,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2019,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2019,14739561.52
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2019,5957663.526
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2019,181071663.1
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2020,5221760.0
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2020,80978474.23
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2020,35628093.66
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2020,11944707.17
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2020,12231237.96
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2020,45632.6915
IND.ODCORP_A_ACO_S13M1_ODCS.XDC.A,India,"Assets, Claims on State and Local Governments (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2020,12199334.72
IND.ODCORP_L_F51KOE_ODCS.XDC.A,India,"Liabilities, Shares and other Equity (ODCS)",Domestic currency,Annual,Millions,Capital & Equity,2020,21490180.89
IND.ODCORP_A_ACO_S1_Z_ODCS.XDC.A,India,"Assets, Claims on Other sectors (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2020,134075914.7
IND.ODCORP_L_F6_ODCS.XDC.A,India,"Liabilities, Insurance Technical Reserves (ODCS)",Domestic currency,Annual,Millions,Insurance Technical Reserves,2020,0.0
IND.ODCORP_A_ACO_NRES_ODCS.XDC.A,India,"Assets, Claims on Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2020,3333632.392
IND.ODCORP_A_F21_ACO_S121_ODCS.XDC.A,India,"Assets, Currency, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2020,949651.7226
IND.ODCORP_A_OCO_S121_ODCS.XDC.A,India,"Assets, Other claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2020,5773295.448
IND.ODCORP_L_LT_NRES_ODCS.XDC.A,India,"Liabilities, Liabilities to Nonresidents (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2020,0.0
IND.ODCORP_NETAL_NCO_S1311MIXED_ODCS.XDC.A,India,"Net (assets less liabilities), Net Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2020,35628093.66
IND.ODCORP_NETAL_NFRA_ODCS.XDC.A,India,"Net (assets less liabilities), Net foreign assets (ODCS)",Domestic currency,Annual,Millions,Foreign & International Exposure,2020,3333632.392
IND.ODCORP_L_F29_IBM_ODCS.XDC.A,India,"Liabilities, Other Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2020,136454432.2
IND.ODCORP_L_F2M_XBM_ODCS.XDC.A,India,"Liabilities, Deposits, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2020,0.0
IND.ODCORP_A_ACO_S11001_ODCS.XDC.A,India,"Assets, Claims on Public non-financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2020,28666867.75
IND.ODCORP_L_F3_XBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Excluded From Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2020,0.0
IND.ODCORP_L_LT_S121_ODCS.XDC.A,India,"Liabilities, Liabilities to Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2020,812700.087
IND.ODCORP_L_F71_ODCS.XDC.A,India,"Liabilities, Financial Derivatives (ODCS)",Domestic currency,Annual,Millions,Financial Derivatives,2020,0.0
IND.ODCORP_L_IL_LT_NRES_ODCS.USD.A,India,"Liabilities, International Liquidity, Liabilities to Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2020,0.0
IND.ODCORP_L_F4_ODCS.XDC.A,India,"Liabilities, Loans (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2020,2515448.6
IND.ODCORP_L_LT_S1311MIXED_ODCS.XDC.A,India,"Liabilities, Liabilities to Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2020,0.0
IND.ODCORP_L_F3_IBM_ODCS.XDC.A,India,"Liabilities, Securities other than Shares, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2020,0.0
IND.ODCORP_L_F22_IBM_ODCS.XDC.A,India,"Liabilities, Transferable Deposits, Included In Broad Money (ODCS)",Domestic currency,Annual,Millions,Deposits & Funding,2020,16866281.77
IND.ODCORP_NETAL_OIN_ASEC_ODCS.XDC.A,India,"Net (assets less liabilities), Other items (Net), All sectors (ODCS)",Domestic currency,Annual,Millions,Other Balance Sheet Items,2020,6843304.326
IND.ODCORP_A_T_ASEC_ODC2SR.XDC.A,India,"Assets, Total, All sectors (ODC2SR)",Domestic currency,Annual,Millions,Banking Sector Size,2020,200917750.4
IND.ODCORP_A_F2MSOTS_RR_ACO_S121_ODCS.XDC.A,India,"Assets, Deposits and securities other than shares, Required reserves, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2021,7648284.6
IND.ODCORP_A_ACO_PS_ODCS.XDC.A,India,"Assets, Claims on Private sector (ODCS)",Domestic currency,Annual,Millions,Private Sector Exposure,2021,87055731.51
IND.ODCORP_A_ACO_S1311MIXED_ODCS.XDC.A,India,"Assets, Claims on Central Government (ODCS)",Domestic currency,Annual,Millions,Government Exposure,2021,36172107.22
IND.ODCORP_A_ACO_S121_ODCS.XDC.A,India,"Assets, Claims on Central bank (ODCS)",Domestic currency,Annual,Millions,Central Bank & Liquidity,2021,16809006.77
IND.ODCORP_A_ACO_S12R_ODCS.XDC.A,India,"Assets, Claims on Other financial corporations (ODCS)",Domestic currency,Annual,Millions,Other Sectoral Exposure,2021,13938129.59
IND.ODCORP_A_IL_ACO_NRES_ODCS.USD.A,India,"Assets, International Liquidity, Claims on Nonresidents (ODCS)",US dollar,Annual,Millions,Foreign & International Exposure,2021,40661.33915
